a,ucsur,&#xF1900;,a+a,a+a+a,seme+a
pakala,ucsur,&#xF1948;
pali,ucsur,&#xF1949;
palisa,ucsur,&#xF194a;
pan,ucsur,&#xF194b;
pana,ucsur,&#xF194c;
pi,ucsur,&#xF194d;
pilin,ucsur,&#xF194e;
pimeja,ucsur,&#xF194f;
pini,ucsur,&#xF1950;
pipi,ucsur,&#xF1951;
poka,ucsur,&#xF1952;
poki,ucsur,&#xF1953;
pona,ucsur,&#xF1954;
pu,ucsur,&#xF1955;
sama,ucsur,&#xF1956;
seli,ucsur,&#xF1957;
selo,ucsur,&#xF1958;
seme,ucsur,&#xF1959;
sewi,ucsur,&#xF195a;,&#xF198c;
sijelo,ucsur,&#xF195b;
sike,ucsur,&#xF195c;
sin,ucsur,&#xF195d;
sina,ucsur,&#xF195e;
sinpin,ucsur,&#xF195f;
sitelen,ucsur,&#xF1960;
sona,ucsur,&#xF1961;
soweli,ucsur,&#xF1962;,sooooooweli
suli,ucsur,&#xF1963;
suno,ucsur,&#xF1964;
supa,ucsur,&#xF1965;
suwi,ucsur,&#xF1966;
tan,ucsur,&#xF1967;
taso,ucsur,&#xF1968;
tawa,ucsur,&#xF1969;
telo,ucsur,&#xF196a;
tenpo,ucsur,&#xF196b;
toki,ucsur,&#xF196c;
tomo,ucsur,&#xF196d;
tu,ucsur,&#xF196e;
unpa,ucsur,&#xF196f;
uta,ucsur,&#xF1970;,&#xF1970;&#xFE01;
utala,ucsur,&#xF1971;
walo,ucsur,&#xF1972;
wan,ucsur,&#xF1973;
waso,ucsur,&#xF1974;
wawa,ucsur,&#xF1975;
weka,ucsur,&#xF1976;
wile,ucsur,&#xF1977;,&#xF1977;&#xFE01;
epiku,ucsur,&#xF1983;,&#xF1983;&#xFE01;
jasima,ucsur,&#xF197f;
kijetesantakalu,ucsur,&#xF1980;,kiiiiiijetesantakalu
kin,ucsur,&#xF1979;
kipisi,ucsur,&#xF197b;
kokosila,ucsur,&#xF1984;,&#xF1984;&#xFE01;
ku,ucsur,&#xF1988;
lanpan,ucsur,&#xF1985;,&#xF1985;&#xFE01;
leko,ucsur,&#xF197c;
meso,ucsur,&#xF1982;,&#xF1982;&#xFE01;
misikeke,ucsur,&#xF1987;
monsuta,ucsur,&#xF197d;
n,ucsur,&#xF1986;
