a,ucsur,a,a2,a3,a4,a5
sutopatikuna,,sutopatikuna
taki,ucsur,taki,taki1
te,ucsur,te
teje,,teje
to,ucsur,to
tuli,,tuli,tuli2,tuli1
u,,u
umesu,,umesu,umesu2
unu,ucsur,unu
usawi,ucsur,usawi
wa,ucsur,wa,wa2
waleja,,waleja
wasoweli,,wasoweli,wasoweli2
yupekosi,ucsur,yupekosi
aka,,aka
ako,,ako,ako2
aku,,aku
alente,,alente
alu,,alu
ana,,ana
ani<br>(wi),,ani
anta,,anta
antikontitutonelema,,antikontitutonelema,antikontitutonelema1
apelo,,apelo
api,,api,api2,api3,api4,api5,api6,api7
awase,,awase
eki,,eki
elen,,elen
eliki,,eliki
ene,,ene
enepi,,enepi
eni,,eni
enko,,enko,enko2,enko3
epikule,,epikule
i,,i
iki,,iki,iki2
ipi,,ipi,ipi2
iseki,,iseki
itomi,,itomi
jaku,,jaku
jalan,,jalan
jami,,jami
jans,,jans
je,,je,je2
jonke,,jonke
jule,,jule
jume,,jume
kalapisituwi,,kalapisituwi
kalijopilale,,kalijopilale
kana,,kana
kankuli,,kankuli
kapa,,kapa
ki,,ki,ki0
kijosin,,kijosin
kikolo,,kikolo
kikulo,,kikulo
kisa,,kisa
kokoliko,,kokoliko
kolo,,kolo
koni<br>(ki),,koni
konsi,,konsi
konwe,,konwe
kosan,,kosan
kosikosa,,kosikosa
kulaso,,kulaso
kulepiku,,kulepiku
kulu,,kulu
kutopoma,,kutopoma
lansan,,lansan
lato,,lato
lijokuku,,lijokuku,lijokuku2
lisana,,lisana,lisana2
lo<br>(lu),,lo
lokon,,lokon
mamasi,,mamasi
mamasina,,mamasina
masalo,,masalo
masenta,,masenta
masu,,masu
matula,,matula
me,,me
melome,ucsur,melome
mijomi,ucsur,mijomi
molusa,,molusa
nalanja,,nalanja,nalanja1
natu,,natu
nele,,nele
nimisin,ucsur,nimisin
nja,ucsur,nja
nowi,,nowi
nu2,,nu2
nuwa,,nuwa
ojuta,,ojuta
oki,,oki,oki2
okepuma,,okepuma
olala,,olala
omekalike,,omekalike
omekapo,ucsur,omekapo
omen,,omen
opasan,,opasan
oni,,oni,oni2
owe,,owe
pa,,pa
pakola,,pakola,pakola2
panke,,panke
pasila,,pasila
peta,,peta
penpo,,penpo
pika,,pika,pika2
pipo,,pipo
pipolo,,pipolo
poni,,poni,poni1,poni2,poni3,poni4,poni5,poni6,poni7,poni8
pulaso,,pulaso
puwa,ucsur,puwa
saja,,saja
sulaso,,sulaso
sapelipope,,sapelipope
sikako,,sikako
sikomo,,sikomo
silapa,,silapa,"<div style=""line-height: 1;"">silapa1<br>silapa2<br>silapa2<br>silapa3</div>"
sipi,,sipi
sipije,,sipije
sisi,,sisi
siwala,,siwala
slape,,slape
snoweli,,snoweli
soni<br>(si),,soni
sowoli,,sowoli
su2,,su0
ta,,ta
tasun,,tasun,taaaaaasun
teken,,teken
ten,,ten,ten2
tokana,,tokana,tokana2,tokana3
tona,,tona
topo,,topo
waken,,waken
wawajete,,wawajete
we<br>(content word),,we
we<br>(particle),,we1
wekama,,wekama
wi,,wi,wi2,wi0
wiju,,wiju
wiwi,,wiwi
wiki,,wiki
wuwojiti,ucsur,wuwojiti
wowujiti,,wowujiti
yutu,,yutu
ja,,ja
kepa,,kepa
miko,,miko,miko2
tuwa,,tuwa
cartouche open,ucsur,&#xf1990;
cartouche end,ucsur,&#xf1991;
cartouche extension,ucsur,&#xf1992;
truncated pi<br>for extended pi,ucsur,&#xf1993;
long pi extension<br>long character extension,ucsur,&#xf1994;,&#xf1999;
stacking combiner<br>(UCSUR only),ucsur,&#xf1995;
scaling combiner<br>(UCSUR only),ucsur,&#xf1996;
long glyph start<br>(UCSUR only),ucsur,&#xf1997;
long glyph end<br>(UCSUR only),ucsur,&#xf1998;
reverse long glyph start<br>(UCSUR only),ucsur,&#xf199a;
reverse long glyph end<br>(UCSUR only),ucsur,&#xf199b;
cartouche interpunct,ucsur,&#xf199c;
cartouche colon,ucsur,&#xf199d;
arrow radical,ucsur,&#xF1C80;
arrowhead radical,ucsur,&#xF1C81;
