u,,u
umesu,,&#x100191;
unu,,unu
usawi,,usawi
wa,,wa
waleja,,&#x1001C2;
yupekosi,,&#x100197;
aka,,aka
alu,,&#x100184;
api,,api,api1,api2
eki,,eki
enko,,&#x100171;
jami,,&#x100188;
jonke,,&#x100199;
jule,,jule
ki,,ki
kisa,,&#x100172;
kolo,,kolo
konwe,,konwe,konwe1
kosan,,&#x100192;
lo<br>(lu),,lo
matula,,&#x100173;
me,,&#x100185;
melome,,&#x100182;
mijomi,,&#x100183;
molusa,,molusa
nalanja,,nalanja,nalanja1
natu,,&#x10017C;
nele,,&#x10017E;,&#x1001C7;,nele1
nimisin,,nimisin
nja,,&#x100189;
omen,,&#x10018F;,&#x1001C8;
owe,,&#x10018E;,owe1
pa,,&#x10019A;
peta,,peta
pika,,&#x100194;,&#x1001BE;
poni,,poni,poni2
puwa,,&#x10017A;
sikomo,,&#x100193;
sisi,,&#x100174;
su2,,su2,su3
ta,,ta
teken,,teken
tokana,,&#x100190;,tokana2
tona,,&#x10019B;
waken,,&#x10019C;
we<br>(particle),,&#x100187;
wekama,,&#x10018C;
wi,,&#x100175;
cartouche open,ucsur,&#xf1990;
cartouche end,ucsur,&#xf1991;
cartouche extension,ucsur,&#xf1992;
truncated pi<br>for extended pi,ucsur,&#xf1993;
cartouche interpunct,ucsur,&#xf199c;
cartouche colon,ucsur,&#xf199d;
