cartouche open,
cartouche end,
cartouche extension,
truncated pi<br>for extended pi,
long pi extension<br>long character extension,
stacking combiner<br>(UCSUR only),
scaling combiner<br>(UCSUR only),
long glyph start<br>(UCSUR only),
long glyph end<br>(UCSUR only),
reverse long glyph start<br>(UCSUR only),
reverse long glyph end<br>(UCSUR only),
cartouche tally marks,
cartouche interpunct,
cartouche colon,
