pu,a,akesi,ala,alasa,ale,anpa,ante,anu,awen,e,en,esun,ijo,ike,ilo,insa,jaki,jan,jelo,jo,kala,kalama,kama,kasi,ken,kepeken,kili,kiwen,ko,kon,kule,kulupu,kute,la,lape,laso,lawa,len,lete,li,lili,linja,lipu,loje,lon,luka,lukin,lupa,ma,mama,mani,meli,mi,mije,moku,moli,monsi,mu,mun,musi,mute,nanpa,nasa,nasin,nena,ni,nimi,noka,o,olin,ona,open,pakala,pali,palisa,pan,pana,pi,pilin,pimeja,pini,pipi,poka,poki,pona,pu,sama,seli,selo,seme,sewi,sijelo,sike,sin,sina,sinpin,sitelen,sona,soweli,suli,suno,supa,suwi,tan,taso,tawa,telo,tenpo,toki,tomo,tu,unpa,uta,utala,walo,wan,waso,wawa,weka,wile
ku suli,epiku,jasima,kijetesantakalu,kin,kipisi,kokosila,ku,lanpan,leko,meso,misikeke,monsuta,n,namako,oko,soko,tonsi
ku lili,apeja,ete,ewe,isipin,ju,kalamARR,kamalawala,kan,kapesi,ke,kese,kiki,kulijo,kuntu,likujo,linluwi,loka,lu,majuna,misa,mulapisu,neja,nu,oke,pake,pata,peto,Pingo,po,polinpin,pomotolo,powe,samu,san,soto,su,sutopatikuna,taki,te,teje,to,tuli,u,umesu,unu,usawi,wa,waleja,wasoweli,yupekosi
ucsur,a,akesi,ala,alasa,ale,anpa,ante,anu,awen,e,en,esun,ijo,ike,ilo,insa,jaki,jan,jelo,jo,kala,kalama,kama,kasi,ken,kepeken,kili,kiwen,ko,kon,kule,kulupu,kute,la,lape,laso,lawa,len,lete,li,lili,linja,lipu,loje,lon,luka,lukin,lupa,ma,mama,mani,meli,mi,mije,moku,moli,monsi,mu,mun,musi,mute,nanpa,nasa,nasin,nena,ni,nimi,noka,o,olin,ona,open,pakala,pali,palisa,pan,pana,pi,pilin,pimeja,pini,pipi,poka,poki,pona,pu,sama,seli,selo,seme,sewi,sijelo,sike,sin,sina,sinpin,sitelen,sona,soweli,suli,suno,supa,suwi,tan,taso,tawa,telo,tenpo,toki,tomo,tu,unpa,uta,utala,walo,wan,waso,wawa,weka,wile,epiku,jasima,kijetesantakalu,kin,kipisi,kokosila,ku,lanpan,leko,meso,misikeke,monsuta,n,namako,oko,soko,tonsi,apeja,powe,majuna,pake
SP Font Maker,a,akesi,ala,alasa,ale,anpa,ante,anu,awen,e,en,esun,ijo,ike,ilo,insa,jaki,jan,jelo,jo,kala,kalama,kama,kasi,ken,kepeken,kili,kiwen,ko,kon,kule,kulupu,kute,la,lape,laso,lawa,len,lete,li,lili,linja,lipu,loje,lon,luka,lukin,lupa,ma,mama,mani,meli,mi,mije,moku,moli,monsi,mu,mun,musi,mute,nanpa,nasa,nasin,nena,ni,nimi,noka,o,olin,ona,open,pakala,pali,palisa,pan,pana,pi,pilin,pimeja,pini,pipi,poka,poki,pona,pu,sama,seli,selo,seme,sewi,sijelo,sike,sin,sina,sinpin,sitelen,sona,soweli,suli,suno,supa,suwi,tan,taso,tawa,telo,tenpo,toki,tomo,tu,unpa,uta,utala,walo,wan,waso,wawa,weka,wile,epiku,jasima,kijetesantakalu,kin,kipisi,ku,lanpan,leko,meso,misikeke,monsuta,n,namako,oko,soko,tonsi,majuna,linluwi,su,te,to
